Ticker,Company_Name,Currency,Data_Date,Industry,Sector,Country,Total_ESG_Score,Environmental_Score,Social_Score,Governance_Score,ESG_Performance,Highest_Controversy,Stock_Price,Current_Price,Market_Cap,PE_Ratio,PB_Ratio,Annual_Return_Pct,Revenue,Net_Income,Operating_Margin_Pct,Gross_Margin_Pct,ROE_Pct,ROA_Pct,Profit_Margin_Pct,EBITDA_Margin_Pct,EPS,Beta,Debt_to_Equity,Current_Ratio,Operating_Cash_Flow,Revenue_Growth_Pct,Status
ADEN.SW,Adecco Group AG,CHF,12/31/24,Staffing & Employment Services,Industrials,Switzerland,8.56,0.04,6.16,2.37,LAG_PERF,2,19.83,23.3,3901254144,14.56,1.22,-14.83,22925000704,290000000,2.2,19.23,8.81,3.16,1.26,3.19,1.6,1.178,116.19,1.03,549000000,-3.42,Success
CFR.SW,Compagnie Financière Richemont SA,CHF,12/31/24,Luxury Goods,Consumer Cyclical,Switzerland,15,3.47,5.72,5.81,LAG_PERF,2,136.79,159.2,93600088064,26.76,4.24,26.44,21398999040,3763000064,20.17,66.91,17.58,6.71,12.86,24.18,5.95,1.318,59.31,2.9,4442999808,3.8,Success
BAER.SW,Julius Bär Gruppe AG,CHF,12/31/24,Asset Management,Financial Services,Switzerland,15.11,0.33,8.54,6.24,LAG_PERF,2,55.81,51.84,10619843584,12.31,1.58,-1.85,3726500096,865400000,24.49,0,13.41,0.85,23.22,,4.21,0.958,,,4391000064,0.78,Success
ABBN.SW,ABB Ltd,CHF,12/31/24,Electrical Equipment & Parts,Industrials,Switzerland,17.37,6.64,7.47,3.26,LAG_PERF,2,49.01,57.94,1.05E+11,29.71,7.05,19.46,34508001280,4451999744,18.43,38.51,30,9.13,12.89,20.12,1.95,0.777,61.45,1.4,5056999936,1.91,Success
HOLN.SW,Holcim AG,CHF,12/31/24,Building Materials,Basic Materials,Switzerland,15.61,10.11,3.48,2.02,LAG_PERF,2,86.25,65.5,36091518976,11.53,2.47,-20.84,26226999296,3163000064,16.11,43.98,15.47,6.43,58.79,23.12,5.68,0.85,64.08,1.49,5015000064,-2.23,Success
BALN.SW,Baloise Holding AG,CHF,12/31/24,Insurance - Diversified,Financial Services,Switzerland,22.41,1.86,13.07,7.48,AVG_PERF,0,159.74,195.1,8848145408,20.09,2.54,13.14,6086400000,440900000,12.37,20.8,12.45,0.55,7.24,11.28,9.71,0.68,68.77,54.63,899900032,-8.59,Success
LOGN.SW,Logitech International S.A.,CHF,12/31/24,Computer Hardware,Technology,Switzerland,9.51,2.12,5.43,1.96,LAG_PERF,2,77.42,85.12,12537868288,25.33,5.74,13.48,4614386176,635710976,14.43,43.01,28.66,11.42,13.78,16.44,3.36,0.664,4.28,2.27,791572992,5.97,Success
CLN.SW,Clariant AG,CHF,12/31/24,Specialty Chemicals,Basic Materials,Switzerland,22.23,14.4,4.61,3.22,AVG_PERF,2,9.5,7.145,2345600512,21.01,1.23,-42.07,4063000064,113000000,0.96,27.81,6.68,1.81,2.78,9.35,0.34,0.552,98.51,1.36,422000000,-5.14,Success
ZURN.SW,Zurich Insurance Group AG,CHF,12/31/24,Insurance - Diversified,Financial Services,Switzerland,14.75,0,9.5,5.25,LAG_PERF,2,512.94,550.6,78342332416,16.9,3.18,5.95,69708996608,5853000192,13.79,22.06,24.09,1.47,8.4,12.67,32.58,0.578,59.77,19.39,6832000000,10.18,Success
UHR.SW,The Swatch Group AG,CHF,12/31/24,Luxury Goods,Consumer Cyclical,Switzerland,22.75,4.29,9.83,8.63,AVG_PERF,2,152.68,170.95,8900395008,144.87,0.73,1.4,6349000192,60000000,2.22,82.55,0.75,0.77,0.95,8.6,1.18,0.83,1.6,8.41,423000000,-14.62,Success
SLHN.SW,Swiss Life Holding AG,CHF,12/31/24,Insurance - Diversified,Financial Services,Switzerland,15.79,0.35,9.24,6.2,LAG_PERF,1,682.08,850.8,24272193536,20.52,3.68,20.32,11644000256,1180000000,15.46,34.6,16.65,0.52,10.22,15.55,41.46,0.908,223.06,15.42,1699000064,6.02,Success
NOVN.SW,Novartis AG,CHF,12/31/24,Drug Manufacturers - General,Healthcare,Switzerland,10.93,2.11,6.23,2.59,LAG_PERF,2,88.48,103.18,2.00E+11,18.76,4.76,3.33,55186001920,13653999616,36.83,76.28,32.49,11.88,24.74,42.68,5.5,0.569,77.61,0.82,20788000768,10.85,Success
NESN.SW,Nestlé S.A.,CHF,12/31/24,Packaged Foods,Consumer Defensive,Switzerland,17.04,10.33,4.54,2.17,LAG_PERF,3,72.52,83.05,2.14E+11,20.76,7.41,-3.22,90898997248,10305000448,16.07,46.66,33.76,7.02,11.34,19.32,4,0.424,225.85,0.71,14577000448,-1.75,Success
SREN.SW,Swiss Re AG,CHF,12/31/24,Insurance - Reinsurance,Financial Services,Switzerland,13.65,0.74,7.46,5.45,LAG_PERF,2,126.35,144.55,42507952128,14.38,1.88,26.71,43868000256,3716000000,17.78,15.41,16.12,2.31,8.55,11.22,10.05,0.68,40.64,2.05,3622000128,7.13,Success
ROG.SW,Roche Holding AG,CHF,12/31/24,Drug Manufacturers - General,Healthcare,Switzerland,21.14,3.58,12.79,4.78,AVG_PERF,2,263.1,280.9,2.25E+11,23.95,7.8,4.39,63488000000,9429000192,36.14,74.79,31.32,13.3,14.85,36.9,11.73,0.179,104.81,1.29,19279998976,3.23,Success
LONN.SW,Lonza Group AG,CHF,12/31/24,Diagnostics & Research,Healthcare,Switzerland,15.81,1.35,10.39,4.07,LAG_PERF,2,552.93,546.2,38313500672,52.72,4.44,-0.69,7093000192,733000000,17.25,36.47,8.1,4.41,10.33,27.42,10.36,0.808,53.18,1.46,1147000064,-2.13,Success
